Configuration,Feed,Composition
Config_6,LSW,23.33
Config_6,MSO,48.02
Config_6,MSW,13.78
Config_7,HSO,0
Config_7,HSW,0
Config_7,LSO,28.69
Config_7,LSW,34.72
Config_7,MSO,0
Config_7,MSW,36.59
Config_8,HSO,44.28
Config_8,HSW,0
Config_8,LSO,0
Config_8,LSW,17.7
Config_8,MSO,38.03
Config_8,MSW,0
Config_9,HSO,0
Config_9,HSW,0
Config_9,LSO,0
Config_9,LSW,0
Config_9,MSO,0
Config_9,MSW,0
